date,energy,time_hours,time_period,moth
2014-01-08,0.728,2,PM,January
2014-03-21,0.416,12,PM,March
2014-12-30,0.431,10,AM,December
2014-03-12,0.294,1,PM,March
2014-11-16,0.122,3,AM,November
2014-11-15,0.367,6,AM,November
2014-05-02,0.154,4,AM,May
2014-05-08,0.797,6,AM,May
2014-10-08,0.223,1,PM,October
2014-05-25,0.372,11,PM,May
2014-11-18,0.778,7,PM,November
2014-02-26,0.702,12,PM,February
2014-09-19,0.412,10,PM,September
2014-04-13,0.166,10,AM,April
2014-08-21,1.166,6,AM,August
2014-05-21,0.162,3,AM,May
2014-10-30,0.601,5,AM,October
2014-12-02,0.267,12,AM,December
2014-06-06,0.785,9,PM,June
2014-12-30,0.446,11,AM,December
2014-07-15,4.277,7,PM,July
2014-08-25,0.226,1,AM,August
2014-08-13,0.396,12,AM,August
2014-02-21,0.413,10,AM,February
2014-07-22,4.277,7,PM,July
2014-09-02,0.172,12,AM,September
2014-03-14,0.152,2,AM,March
2014-02-24,0.461,8,AM,February
2014-01-20,0.93,11,AM,January
2014-07-13,4.925,7,PM,July
2014-04-28,0.538,8,PM,April
2014-12-08,0.3,9,AM,December
2014-07-26,2.189,2,PM,July
2014-10-31,0.556,7,AM,October
2014-05-14,0.372,12,PM,May
2014-01-22,3.564,7,PM,January
2014-09-04,0.269,4,PM,September
2014-06-15,1.035,10,PM,June
2014-07-19,2.909,7,AM,July
2014-12-25,0.4,2,PM,December
2014-01-14,0.672,2,PM,January
2014-12-12,0.488,2,PM,December
2014-05-22,0.317,1,PM,May
2014-01-31,0.436,1,AM,January
2014-07-20,0.806,3,AM,July
2014-12-12,0.176,4,AM,December
2014-10-06,0.288,4,PM,October
2014-01-29,0.324,4,AM,January
2014-06-28,2.354,7,AM,June
2014-01-30,2.73,5,PM,January
2014-10-24,0.24,8,AM,October
2014-10-27,0.286,3,PM,October
2014-05-24,0.204,2,AM,May
2014-06-02,0.756,4,PM,June
2014-05-02,0.304,1,PM,May
2014-06-07,0.437,3,AM,June
2014-07-31,3.494,6,PM,July
2014-12-17,1.187,5,PM,December
2014-03-01,0.864,9,AM,March
2014-06-01,2.083,8,AM,June
2014-08-11,0.514,2,PM,August
2014-06-01,0.94,12,PM,June
2014-04-05,0.113,9,PM,April
2014-09-06,0.655,12,AM,September
2014-11-29,0.689,7,PM,November
2014-04-13,0.524,8,PM,April
2014-10-06,0.288,10,PM,October
2014-08-19,0.346,12,AM,August
2014-04-28,0.061,4,AM,April
2014-10-24,0.648,11,PM,October
2014-04-15,0.216,7,AM,April
2014-05-24,0.368,10,PM,May
2014-04-15,0.108,8,AM,April
2014-07-14,3.168,6,AM,July
2014-06-23,0.32,3,AM,June
2014-02-13,0.523,4,PM,February
2014-11-17,0.662,6,PM,November
2014-01-27,0.864,8,AM,January
2014-07-22,1.133,10,AM,July
2014-01-19,0.684,2,AM,January
2014-01-25,3.492,6,PM,January
2014-10-31,0.173,9,AM,October
2014-10-05,0.212,5,AM,October
2014-01-26,0.618,5,AM,January
2014-02-19,0.233,1,AM,February
2014-01-24,1.1,11,AM,January
2014-03-28,1.009,5,PM,March
2014-09-07,1.474,7,PM,September
2014-09-19,0.155,3,AM,September
2014-06-22,1.069,9,PM,June
2014-03-24,0.307,2,PM,March
2014-01-05,4.068,7,PM,January
2014-11-05,0.109,9,AM,November
2014-06-23,2.041,6,PM,June
2014-06-16,2.225,6,AM,June
2014-04-07,0.082,9,AM,April
2014-05-13,0.186,4,AM,May
2014-11-27,0.207,10,PM,November
2014-06-21,1.49,9,AM,June
2014-03-04,0.15,2,AM,March
2014-01-12,1.824,2,PM,January
2014-03-19,0.799,7,AM,March
2014-06-14,2.574,8,AM,June
2014-12-14,0.842,3,PM,December
2014-03-12,0.348,12,PM,March
2014-02-24,0.95,7,AM,February
2014-09-21,1.21,6,PM,September
2014-01-08,2.56,8,PM,January
2014-11-09,0.149,5,AM,November
2014-08-01,0.418,8,AM,August
2014-04-16,0.121,4,PM,April
2014-09-01,1.197,7,PM,September
2014-11-04,0.084,3,AM,November
2014-11-10,0.687,6,PM,November
2014-12-31,0.36,12,AM,December
2014-03-22,0.24,3,AM,March
2014-06-19,0.437,9,AM,June
2014-03-26,0.149,1,AM,March
2014-02-03,0.283,4,AM,February
2014-09-11,0.23,1,PM,September
2014-06-26,0.637,9,AM,June
2014-08-07,1.478,6,PM,August
2014-10-04,0.432,12,PM,October
2014-06-20,2.441,6,AM,June
2014-08-17,1.44,7,AM,August
2014-07-08,1.188,11,PM,July
2014-02-21,0.4,9,AM,February
2014-10-06,0.262,8,AM,October
2014-04-22,0.147,12,PM,April
2014-02-04,0.264,2,AM,February
2014-09-08,0.986,8,PM,September
2014-12-06,0.862,2,PM,December
2014-03-24,0.349,8,AM,March
2014-06-12,0.432,12,AM,June
2014-11-23,0.311,9,PM,November
2014-04-27,0.169,11,AM,April
2014-01-08,0.912,8,AM,January
2014-04-18,0.576,8,PM,April
2014-09-17,0.542,7,AM,September
2014-08-31,2.095,8,PM,August
2014-12-24,0.255,1,AM,December
2014-05-25,1.267,6,PM,May
2014-06-13,0.583,1,PM,June
2014-11-18,0.308,9,PM,November
2014-11-10,0.176,3,PM,November
2014-01-23,1.07,10,PM,January
2014-07-13,1.92,2,PM,July
2014-07-09,1.14,11,AM,July
2014-08-03,0.677,10,AM,August
2014-08-05,0.557,4,PM,August
2014-02-28,0.211,2,AM,February
2014-03-24,0.288,1,PM,March
2014-04-27,0.283,12,AM,April
2014-07-03,0.494,1,AM,July
2014-01-08,0.444,2,AM,January
2014-01-24,2.178,5,AM,January
2014-05-03,0.403,11,AM,May
2014-07-19,2.506,9,AM,July
2014-12-25,1.379,5,AM,December
2014-12-05,0.493,10,AM,December
2014-01-22,0.712,2,PM,January
2014-07-09,1.152,2,PM,July
2014-08-20,0.466,10,AM,August
2014-09-06,0.743,9,AM,September
2014-05-02,0.874,5,PM,May
2014-11-01,0.369,9,AM,November
2014-06-01,1.037,10,AM,June
2014-03-17,0.388,11,PM,March
2014-11-10,0.098,2,AM,November
2014-07-09,0.95,8,AM,July
2014-08-24,0.546,11,PM,August
2014-07-30,0.778,9,AM,July
2014-06-20,2.948,6,PM,June
2014-11-11,0.705,7,PM,November
2014-06-28,0.486,4,AM,June
2014-04-28,0.147,11,AM,April
2014-01-07,0.552,9,AM,January
2014-02-24,0.466,2,PM,February
2014-02-23,0.634,11,AM,February
2014-03-19,0.176,2,AM,March
2014-01-06,1.11,11,AM,January
2014-12-29,0.196,3,AM,December
2014-12-15,0.449,8,AM,December
2014-11-26,0.148,4,PM,November
2014-06-09,0.792,11,AM,June
2014-05-13,1.44,7,PM,May
2014-08-10,1.156,3,PM,August
2014-09-13,1.071,7,PM,September
2014-09-06,1.184,7,PM,September
2014-12-05,2.178,7,PM,December
2014-05-06,0.238,9,AM,May
2014-07-20,1.901,12,AM,July
2014-11-02,0.212,10,PM,November
2014-03-14,1.408,8,PM,March
2014-04-23,0.112,8,AM,April
2014-04-24,0.071,4,AM,April
2014-01-03,1.8,7,AM,January
2014-06-03,0.36,2,AM,June
2014-10-22,0.47,7,AM,October
2014-02-13,0.618,11,PM,February
2014-04-28,0.058,1,AM,April
2014-07-15,1.066,3,PM,July
2014-05-18,1.44,8,PM,May
2014-06-27,2.851,8,PM,June
2014-03-09,0.528,9,PM,March
2014-11-28,0.864,8,PM,November
2014-05-11,0.452,10,PM,May
2014-10-01,0.425,9,PM,October
2014-02-27,0.437,1,PM,February
2014-05-20,0.905,5,PM,May
2014-07-02,3.797,6,PM,July
2014-11-23,0.284,12,PM,November
2014-10-05,0.346,12,PM,October
2014-07-10,2.052,7,AM,July
2014-07-09,4.531,8,PM,July
2014-05-06,0.339,8,AM,May
2014-10-08,0.189,12,AM,October
2014-02-17,0.367,12,AM,February
2014-10-04,0.47,2,PM,October
2014-02-28,0.63,11,AM,February
2014-05-03,1.224,6,PM,May
2014-07-18,0.499,2,AM,July
2014-12-02,0.387,2,PM,December
2014-08-05,0.907,7,AM,August
2014-03-13,1.216,8,PM,March
2014-02-05,1.201,5,AM,February
2014-09-11,0.399,10,PM,September
2014-07-15,2.534,5,AM,July
2014-02-25,0.54,11,AM,February
2014-09-23,1.424,7,PM,September
2014-05-28,0.358,1,PM,May
2014-09-14,0.674,5,PM,September
2014-03-09,0.605,3,PM,March
2014-02-07,1.181,6,AM,February
2014-01-28,0.98,11,AM,January
2014-09-16,0.26,4,PM,September
2014-02-23,0.662,10,AM,February
2014-10-21,0.107,2,AM,October
2014-02-03,0.612,10,PM,February
2014-05-19,0.314,4,PM,May
2014-05-24,0.301,9,PM,May
2014-03-18,0.362,8,AM,March
2014-02-24,0.523,10,AM,February
2014-05-12,0.376,12,PM,May
2014-07-25,0.509,1,AM,July
2014-07-10,3.11,6,AM,July
2014-12-25,0.178,4,AM,December
2014-10-27,0.594,5,AM,October
2014-04-02,0.363,5,AM,April
2014-07-05,2.15,2,PM,July
2014-03-07,0.162,4,AM,March
2014-09-16,0.816,5,AM,September
2014-11-08,0.432,7,AM,November
2014-04-29,0.364,6,AM,April
2014-05-01,0.285,1,PM,May
2014-10-21,0.176,12,AM,October
2014-02-13,0.456,3,PM,February
2014-11-08,0.288,6,AM,November
2014-10-16,0.274,10,AM,October
2014-01-12,4.248,7,PM,January
2014-03-14,0.96,11,PM,March
2014-10-02,0.62,5,AM,October
2014-02-09,0.826,2,PM,February
2014-05-21,0.291,2,PM,May
2014-10-15,0.142,4,AM,October
2014-07-18,0.893,9,PM,July
2014-04-30,0.092,12,AM,April
2014-03-19,0.228,9,AM,March
2014-06-08,1.879,5,PM,June
2014-06-05,0.454,9,AM,June
2014-10-26,0.85,8,AM,October
2014-04-09,0.284,5,AM,April
2014-08-09,1.356,11,PM,August
2014-11-25,0.725,6,PM,November
2014-02-28,0.374,12,AM,February
2014-11-09,0.218,11,PM,November
2014-01-25,2.16,3,PM,January
2014-07-27,4.277,7,PM,July
2014-07-23,1.404,11,PM,July
2014-09-11,0.874,6,AM,September
2014-04-02,0.096,2,PM,April
2014-05-06,0.147,4,AM,May
2014-08-24,0.619,10,AM,August
2014-05-15,0.307,10,AM,May
2014-09-21,0.433,9,PM,September
2014-01-28,0.72,1,PM,January
2014-01-20,0.636,9,AM,January
2014-05-30,0.174,2,AM,May
2014-11-10,0.193,10,AM,November
2014-10-26,0.295,10,AM,October
2014-07-04,0.451,3,AM,July
2014-09-21,1.084,8,PM,September
2014-06-20,2.036,5,PM,June
2014-02-11,1.882,8,PM,February
2014-09-14,0.353,11,AM,September
2014-09-23,0.357,11,AM,September
2014-10-10,0.139,3,AM,October
2014-01-07,0.672,1,PM,January
2014-11-16,0.867,8,PM,November
2014-07-20,1.57,1,PM,July
2014-05-09,0.998,5,PM,May
2014-05-25,0.288,5,AM,May
2014-01-12,0.582,2,AM,January
2014-06-09,1.102,9,PM,June
2014-09-26,0.235,1,PM,September
2014-12-05,0.427,8,AM,December
2014-03-19,0.49,9,PM,March
2014-03-06,0.19,2,AM,March
2014-02-24,2.484,7,PM,February
2014-08-07,1.326,5,PM,August
2014-07-04,0.446,4,AM,July
2014-12-16,0.392,8,AM,December
2014-06-28,2.457,8,AM,June
2014-12-01,0.198,1,AM,December
2014-02-17,0.242,2,AM,February
2014-04-28,0.648,7,PM,April
2014-07-14,0.749,12,AM,July
2014-10-26,0.32,1,PM,October
2014-09-25,1.109,7,PM,September
2014-04-28,0.479,6,PM,April
2014-04-17,0.138,8,AM,April
2014-02-12,1.253,7,AM,February
2014-04-03,0.103,10,AM,April
2014-06-17,0.432,4,AM,June
2014-04-19,0.284,5,PM,April
2014-04-11,0.173,11,AM,April
2014-11-21,0.086,3,AM,November
2014-07-02,0.874,2,PM,July
2014-12-22,1.813,8,PM,December
2014-08-05,0.364,9,AM,August
2014-04-27,0.141,11,PM,April
2014-07-25,0.557,4,AM,July
2014-07-13,4.838,6,PM,July
2014-05-20,0.176,3,AM,May
2014-05-23,0.278,3,PM,May
2014-07-05,2.03,4,PM,July
2014-12-28,0.614,10,AM,December
2014-10-30,0.122,1,AM,October
2014-08-14,0.286,3,AM,August
2014-02-08,1.046,6,AM,February
2014-12-21,1.214,7,AM,December
2014-01-12,0.558,1,AM,January
2014-09-14,0.336,12,PM,September
2014-04-02,0.349,6,PM,April
2014-05-11,0.47,11,AM,May
2014-04-20,0.535,6,PM,April
2014-11-27,0.411,5,AM,November
2014-06-06,0.648,8,AM,June
2014-05-16,1.134,5,PM,May
2014-09-03,0.277,3,PM,September
2014-06-30,0.72,10,AM,June
2014-04-20,0.248,3,PM,April
2014-07-26,4.277,6,PM,July
2014-06-16,0.835,1,PM,June
2014-08-23,0.403,4,AM,August
2014-11-11,0.09,3,AM,November
2014-10-11,0.48,6,AM,October
2014-07-05,3.401,8,AM,July
2014-01-26,0.666,4,AM,January
2014-12-01,1.428,5,AM,December
2014-05-25,1.166,8,PM,May
2014-05-06,0.34,11,AM,May
2014-01-06,2.472,6,AM,January
2014-09-18,1.159,7,PM,September
2014-04-09,0.17,12,PM,April
2014-06-22,1.539,4,PM,June
2014-12-11,2.059,7,PM,December
2014-06-17,0.77,3,PM,June
2014-03-14,0.34,12,PM,March
2014-09-14,0.239,4,AM,September
2014-12-03,0.785,9,PM,December
2014-11-27,0.292,9,PM,November
2014-02-17,0.394,4,PM,February
2014-04-24,0.096,1,PM,April
2014-05-29,0.301,4,PM,May
2014-08-05,0.48,8,AM,August
2014-09-04,0.147,1,AM,September
2014-09-19,0.924,6,AM,September
2014-01-06,0.936,1,PM,January
2014-11-15,0.15,5,AM,November
2014-06-08,2.668,8,AM,June
2014-02-19,2.203,7,PM,February
2014-05-13,0.974,6,PM,May
2014-11-18,0.239,10,PM,November
2014-08-23,0.342,1,AM,August
2014-07-06,4.45,7,PM,July
2014-01-09,0.708,9,AM,January
2014-02-03,1.42,5,PM,February
2014-01-11,1.53,9,AM,January
2014-10-03,0.245,10,AM,October
2014-10-19,0.459,3,PM,October
2014-06-18,0.792,3,PM,June
2014-07-02,3.053,6,AM,July
2014-07-07,1.392,11,AM,July
2014-07-28,3.151,5,PM,July
2014-03-04,0.818,5,AM,March
2014-10-24,0.979,8,PM,October
2014-11-28,0.599,6,PM,November
2014-06-24,0.59,4,PM,June
2014-02-06,0.518,1,PM,February
2014-05-08,0.739,5,AM,May
2014-12-25,0.484,8,AM,December
2014-09-12,0.302,8,AM,September
2014-04-17,0.13,1,PM,April
2014-02-05,0.51,10,PM,February
2014-04-28,0.112,1,PM,April
2014-02-03,0.252,2,AM,February
2014-06-20,0.432,12,AM,June
2014-03-25,0.152,2,AM,March
2014-03-28,0.388,12,PM,March
2014-06-25,0.599,12,AM,June
2014-08-20,0.202,3,AM,August
2014-06-08,1.766,3,PM,June
2014-03-07,0.286,9,AM,March
2014-07-07,1.032,11,PM,July
2014-06-18,1.071,12,PM,June
2014-08-10,0.552,10,PM,August
2014-11-05,0.2,8,AM,November
2014-12-06,0.383,3,AM,December
2014-11-06,0.236,10,PM,November
2014-08-07,0.642,10,PM,August
2014-01-31,0.708,12,AM,January
2014-07-29,0.542,4,AM,July
2014-11-07,0.077,4,AM,November
2014-05-09,1.395,8,PM,May
2014-01-07,0.84,11,PM,January
2014-10-13,0.257,2,PM,October
2014-08-03,1.879,7,PM,August
2014-06-02,0.389,4,AM,June
2014-12-03,0.352,2,PM,December
2014-06-09,0.407,1,AM,June
2014-11-15,0.948,7,PM,November
2014-12-11,0.644,11,AM,December
2014-03-26,0.952,6,PM,March
2014-03-30,0.73,2,PM,March
2014-06-14,1.274,10,AM,June
2014-12-27,1.148,3,PM,December
2014-05-19,0.381,10,AM,May
2014-07-27,1.627,12,PM,July
2014-07-26,2.57,4,PM,July
2014-07-31,0.893,8,AM,July
2014-06-03,1.663,5,AM,June
2014-10-08,1.094,8,PM,October
2014-12-09,1.077,5,AM,December
2014-05-10,0.281,5,AM,May
2014-12-08,1.32,6,AM,December
2014-02-20,0.72,11,PM,February
2014-07-06,1.944,5,PM,July
2014-11-19,0.907,7,PM,November
2014-10-13,0.101,1,AM,October
2014-07-21,3.955,8,PM,July
2014-12-25,0.713,9,PM,December
2014-09-15,0.336,12,PM,September
2014-06-14,1.555,6,AM,June
2014-06-03,0.954,10,PM,June
2014-04-22,0.137,10,PM,April
2014-10-19,0.291,10,PM,October
2014-07-23,0.941,2,PM,July
2014-04-15,0.057,2,AM,April
2014-08-08,0.252,4,AM,August
2014-07-16,1.094,8,AM,July
2014-05-03,0.323,9,PM,May
2014-05-09,0.333,9,PM,May
2014-12-07,1.373,8,AM,December
2014-08-06,0.25,1,AM,August
2014-05-16,0.25,9,AM,May
2014-02-21,1.399,5,AM,February
2014-06-30,0.634,4,PM,June
2014-04-03,0.059,2,AM,April
2014-10-28,0.262,8,AM,October
2014-08-21,0.51,10,PM,August
2014-03-28,0.286,9,AM,March
2014-12-11,0.213,4,AM,December
2014-10-29,0.124,4,AM,October
2014-07-13,1.152,9,PM,July
2014-04-01,0.115,1,PM,April
2014-11-13,0.68,6,PM,November
2014-07-14,1.32,12,PM,July
2014-04-18,0.159,12,PM,April
2014-04-14,0.096,1,PM,April
2014-08-27,0.427,2,PM,August
2014-04-03,0.481,7,PM,April
2014-08-07,0.533,3,PM,August
2014-04-13,0.074,5,AM,April
2014-02-22,0.494,10,PM,February
2014-10-01,0.255,12,PM,October
2014-02-04,0.384,2,PM,February
2014-10-02,0.182,9,AM,October
2014-06-08,0.632,3,AM,June
2014-10-31,0.257,2,PM,October
2014-11-15,0.146,4,AM,November
2014-01-24,0.704,10,AM,January
2014-06-06,0.828,12,PM,June
2014-01-21,3.232,8,PM,January
2014-12-05,0.373,9,AM,December
2014-08-08,1.607,5,PM,August
2014-01-22,0.8,10,PM,January
2014-03-15,0.228,5,AM,March
2014-09-20,0.599,2,PM,September
2014-03-31,0.365,10,AM,March
2014-09-28,1.037,8,AM,September
2014-04-13,0.151,1,PM,April
2014-01-08,1.428,9,PM,January
2014-09-07,0.34,1,PM,September
2014-04-07,0.264,5,AM,April
2014-03-14,0.269,4,PM,March
2014-08-27,2.57,7,PM,August
2014-10-17,0.252,10,AM,October
2014-11-01,0.381,3,PM,November
2014-10-05,0.481,3,PM,October
2014-01-30,0.93,11,AM,January
2014-03-30,1.67,8,PM,March
2014-09-09,0.123,4,AM,September
2014-05-28,0.404,11,PM,May
2014-12-07,2.039,7,PM,December
2014-08-15,0.983,10,PM,August
2014-11-19,0.146,4,PM,November
2014-11-06,0.189,3,PM,November
2014-06-13,0.346,1,AM,June
2014-04-21,0.107,9,AM,April
2014-07-15,2.592,7,AM,July
2014-11-03,0.078,4,AM,November
2014-11-26,0.2,2,PM,November
2014-04-14,0.403,6,PM,April
2014-06-15,0.583,5,AM,June
2014-11-30,0.123,3,AM,November
2014-02-15,0.886,4,PM,February
2014-04-11,0.346,6,AM,April
2014-08-06,0.918,7,AM,August
2014-07-06,3.168,7,AM,July
2014-08-07,0.364,12,AM,August
2014-03-30,0.59,4,PM,March
2014-06-10,2.88,8,PM,June
2014-12-13,0.327,3,AM,December
2014-03-06,1.382,7,PM,March
2014-03-02,0.576,2,PM,March
2014-05-17,0.614,12,AM,May
2014-11-25,0.212,4,PM,November
2014-11-01,0.116,4,AM,November
2014-12-13,0.554,12,PM,December
2014-11-09,0.132,4,AM,November
2014-02-13,0.254,2,AM,February
2014-04-28,0.049,3,AM,April
2014-01-10,2.472,6,AM,January
2014-06-28,3.596,6,PM,June
2014-11-06,0.185,8,AM,November
2014-02-14,0.48,1,PM,February
2014-03-03,1.238,7,PM,March
2014-02-07,1.056,5,AM,February
2014-03-03,0.134,2,AM,March
2014-01-16,1.09,11,PM,January
2014-12-05,1.079,7,AM,December
2014-02-06,1.378,6,PM,February
2014-03-21,0.801,5,AM,March
2014-05-03,0.648,5,PM,May
2014-10-19,1.242,7,PM,October
2014-08-07,0.57,11,AM,August
2014-12-20,1.244,8,AM,December
2014-07-01,0.778,10,AM,July
2014-05-10,1.714,7,PM,May
2014-03-01,0.23,3,AM,March
2014-07-01,0.857,12,AM,July
2014-12-12,0.378,1,PM,December
2014-01-09,0.792,1,PM,January
2014-01-06,0.504,9,AM,January
2014-09-30,0.966,6,AM,September
2014-05-15,0.262,4,PM,May
2014-05-20,0.144,2,AM,May
2014-05-10,0.259,4,AM,May
2014-07-05,0.857,1,AM,July
2014-12-15,0.48,10,AM,December
2014-04-19,0.124,9,PM,April
2014-03-17,0.339,2,PM,March
2014-04-18,0.048,4,AM,April
2014-06-01,0.583,3,AM,June
2014-05-09,0.358,10,AM,May
2014-05-09,0.17,1,AM,May
2014-09-21,0.208,3,AM,September
2014-06-12,1.539,7,AM,June
2014-05-06,1.003,5,AM,May
2014-05-19,0.806,6,AM,May
2014-03-05,0.189,2,AM,March
2014-03-19,0.768,6,AM,March
2014-04-18,0.078,12,AM,April
2014-03-21,0.85,7,AM,March
2014-01-15,0.534,9,AM,January
2014-10-04,0.432,6,AM,October
2014-11-19,0.23,12,PM,November
2014-07-15,0.456,2,AM,July
2014-04-19,0.481,7,PM,April
2014-09-12,0.153,2,AM,September
2014-06-22,0.801,11,PM,June
2014-01-25,2.88,8,PM,January
2014-02-14,1.134,7,AM,February
2014-01-10,0.424,1,AM,January
2014-11-16,0.378,2,PM,November
2014-07-24,0.96,11,PM,July
2014-12-03,0.185,1,AM,December
2014-05-31,1.44,8,PM,May
2014-11-14,0.148,9,PM,November
2014-09-26,0.277,8,AM,September
2014-01-16,2.73,5,PM,January
2014-07-05,3.37,7,AM,July
2014-04-23,0.406,5,PM,April
2014-04-29,0.106,4,PM,April
2014-05-27,0.485,9,PM,May
2014-10-17,0.271,9,PM,October
2014-01-30,0.696,12,AM,January
2014-03-24,0.294,10,AM,March
2014-11-27,0.117,9,AM,November
2014-01-17,1.1,12,PM,January
2014-04-19,0.273,11,PM,April
2014-02-07,1.997,8,PM,February
2014-06-07,1.188,10,AM,June
2014-01-08,0.81,11,PM,January
2014-09-03,0.403,11,AM,September
2014-02-27,1.932,6,PM,February
2014-12-26,1.187,5,PM,December
2014-04-15,0.353,6,AM,April
2014-03-02,0.384,11,PM,March
2014-04-29,0.142,10,AM,April
2014-10-04,0.819,8,AM,October
2014-07-02,2.87,5,PM,July
2014-08-27,0.494,4,PM,August
2014-02-14,1.747,6,PM,February
2014-06-27,0.785,8,AM,June
2014-02-28,0.538,4,PM,February
2014-04-07,0.132,4,PM,April
2014-09-19,0.58,7,AM,September
2014-10-23,0.282,12,PM,October
2014-03-22,0.576,2,PM,March
2014-03-07,0.998,5,PM,March
2014-04-16,0.15,12,PM,April
2014-11-23,0.12,2,AM,November
2014-02-13,0.288,3,AM,February
2014-01-23,0.808,2,PM,January
2014-04-01,0.053,4,AM,April
2014-06-19,0.835,1,PM,June
2014-01-31,1.442,10,PM,January
2014-08-15,2.131,8,PM,August
2014-03-02,0.544,6,AM,March
2014-10-04,0.481,3,PM,October
2014-12-24,0.484,2,PM,December
2014-05-08,0.332,11,AM,May
2014-10-27,0.883,8,PM,October
2014-12-07,1.02,5,PM,December
2014-05-17,1.224,6,PM,May
2014-02-09,0.648,10,PM,February
2014-11-07,0.196,11,AM,November
